1000
T Rho Ye Ym Mue Mum Mun Mup Un Up
5.4088524e+01 5.5523763e+14 2.3229098e-01 1.3452774e-02 2.2390877e+02 5.2863823e+01 1.0072559e+03 8.9274875e+02 3.5097598e+02 3.2338691e+02 
8.3727665e+00 4.7381264e+12 8.3804540e-02 2.3215126e-03 3.1884496e+01 6.9458996e+01 9.2539235e+02 8.9621659e+02 3.2759827e+00 1.9127985e+00 
3.0688053e+01 6.6781245e+14 2.3888142e-01 1.8010494e-03 2.6862845e+02 4.9567047e+01 1.0655814e+03 9.6108073e+02 4.1870978e+02 3.9588040e+02 
3.0757586e+01 5.3979172e+14 2.4569781e-01 4.3178030e-02 2.5117427e+02 1.5873763e+02 1.0101012e+03 9.3031966e+02 3.4114465e+02 3.1811190e+02 
2.7320118e+01 8.1820832e+14 2.3086515e-01 8.9734586e-03 2.8760986e+02 1.1709029e+02 1.1359486e+03 1.0254352e+03 5.1071686e+02 4.9433090e+02 
2.7875008e+01 6.5701247e+13 1.5850057e-01 8.5612521e-02 9.0286882e+01 1.0672975e+02 9.0112072e+02 8.4654875e+02 4.1953226e+01 2.9557471e+01 
2.9695786e+01 9.5781671e+13 1.5085903e-01 7.0753918e-02 1.0282119e+02 1.0912807e+02 9.0826447e+02 8.3959126e+02 6.4277579e+01 4.4557775e+01 
6.2516351e+00 4.5683583e+11 1.3611118e-01 5.4238129e-02 1.4393724e+01 8.6738753e+01 9.1715359e+02 9.0580124e+02 3.1144143e-01 2.0992606e-01 
3.0218321e+01 5.9549165e+14 2.4337001e-01 3.8192489e-02 2.5980669e+02 1.5834490e+02 1.0313702e+03 9.4707636e+02 3.7483372e+02 3.5305997e+02 
1.1613126e+01 1.6846908e+13 8.1535026e-02 6.0145215e-02 4.9643251e+01 1.0418548e+02 9.2560922e+02 8.8929946e+02 1.0582005e+01 6.4135608e+00 
5.3424545e+01 5.0191182e+14 2.3490670e-01 7.6936318e-03 2.1605624e+02 3.0714424e+01 9.8781741e+02 8.7327087e+02 3.1899977e+02 2.8873161e+02 
5.8777275e+00 2.2796665e+11 1.6711159e-01 8.5118407e-02 1.1207928e+01 8.7004159e+01 9.1458011e+02 9.0647126e+02 1.5325499e-01 1.1226353e-01 
