1000
T Rho Ye Ym Mue Mum Mun Mup Un Up M*n M*p
1.8404442e+01 4.8532147e+14 2.6310435e-01 4.7519059e-02 2.5540278e+02 1.7286960e+02 9.9283828e+02 9.2765830e+02 3.0781484e+02 2.8563663e+02 5.8864679e+02 5.8735346e+02 
1.3007853e+01 3.1087059e+13 7.3966786e-02 8.7888358e-02 5.9936399e+01 1.1762353e+02 9.2744601e+02 8.8667275e+02 1.9180644e+01 1.1847600e+01 9.1159806e+02 9.1030472e+02 
3.5028133e+01 6.5356189e+14 2.3741724e-01 6.8368769e-02 2.6257462e+02 1.8843308e+02 1.0493265e+03 9.7119363e+02 4.0981274e+02 3.9246386e+02 5.1746317e+02 5.1616984e+02 
2.2065409e+01 6.2001987e+14 2.4987377e-01 1.5299935e-02 2.7120129e+02 1.3522104e+02 1.0447536e+03 9.5598591e+02 3.8996942e+02 3.6755491e+02 5.2670197e+02 5.2540863e+02 
3.6100574e+01 6.2873416e+14 2.3805963e-01 6.8770237e-02 2.5817617e+02 1.8498297e+02 1.0390644e+03 9.6163983e+02 3.9492605e+02 3.7684715e+02 5.2856607e+02 5.2727274e+02 
2.2396639e+01 3.0359140e+13 1.6057508e-01 7.2920174e-02 6.8925294e+01 9.2827980e+01 9.0086419e+02 8.5880769e+02 1.8664757e+01 1.2896527e+01 9.1168273e+02 9.1038939e+02 
1.1175534e+01 1.7210423e+13 7.6899439e-02 6.5831406e-03 4.9411726e+01 7.8314047e+01 9.2821385e+02 8.8412550e+02 1.1904327e+01 6.9013192e+00 9.2215614e+02 9.2086280e+02 
2.4979534e+01 5.1668339e+13 1.4962813e-01 2.0795893e-02 8.2154280e+01 6.6280458e+01 9.0745565e+02 8.4303871e+02 3.4759570e+01 2.2349650e+01 8.9095537e+02 8.8966203e+02 
6.7736678e+00 2.5771839e+11 1.8314813e-01 4.8124919e-02 1.1201963e+01 7.9537284e+01 9.1038654e+02 9.0049237e+02 1.7650368e-01 1.2695058e-01 9.3927086e+02 9.3797752e+02 
1.9092239e+01 5.4777067e+14 2.6053980e-01 5.5719549e-02 2.6505770e+02 1.8496862e+02 1.0117169e+03 9.4608987e+02 3.4523081e+02 3.2559984e+02 5.5797423e+02 5.5668090e+02 
3.7628925e+01 9.3080095e+13 2.2508004e-01 5.0265844e-02 1.1010759e+02 7.4566043e+01 8.8453303e+02 8.2264504e+02 6.0871703e+01 4.5310966e+01 8.5640459e+02 8.5511126e+02 
2.3776514e+01 6.6156583e+14 2.4577384e-01 6.6516139e-02 2.7487371e+02 1.9996518e+02 1.0540556e+03 9.8181400e+02 4.1444448e+02 3.9801790e+02 5.0877962e+02 5.0748628e+02 
1.9338245e+01 4.5405968e+14 2.6221061e-01 4.7915692e-02 2.4885932e+02 1.6953572e+02 9.8346079e+02 9.1904465e+02 2.8874824e+02 2.6557384e+02 6.0535556e+02 6.0406222e+02 
9.2154713e+00 4.2215987e+12 1.0298736e-01 6.5322001e-02 3.2014100e+01 9.4859699e+01 9.2040054e+02 8.9851362e+02 2.6495568e+00 1.6752872e+00 9.3543463e+02 9.3414129e+02 
3.4068913e+01 8.7208254e+13 1.8770587e-01 8.2652760e-02 1.0236573e+02 1.0121948e+02 8.9160329e+02 8.3280938e+02 5.6489966e+01 4.1589182e+01 8.6161071e+02 8.6031737e+02 
