1744
# Radius, Mass, Rho, T, Ye, Ym, Mu_e, Mu_mu, Mu_n, M_n_eff, U_n, Xn_val, Mu_p, M_p_eff, U_p, Xp_val
2.500000000000000000e+04 5.803906838879031540e-05 2.938170047604927500e+14 9.444793361136882837e+00 2.374181959202927295e-01 7.384020336253762284e-05 1.305728077523183686e+02 6.940554772016898255e+01 9.569901431502905780e+02 6.964842202910299420e+02 1.945955433729174899e+02 7.624956961836547586e-01 8.828574416779302965e+02 6.951908166859642506e+02 1.587445679416628366e+02 2.374519116681393927e-01
7.500000000000000000e+04 5.790646510766037742e-04 2.930711259744994375e+14 9.358403107402288867e+00 2.376254104937971512e-01 6.859190087799655819e-05 1.304913452939930210e+02 6.916166358367362932e+01 9.568504023768919069e+02 6.969429236999633304e+02 1.941501716464414926e+02 7.622944147743244692e-01 8.828849852028348550e+02 6.956495276018457616e+02 1.583332398128549698e+02 2.376561037356931250e-01
1.250000000000000000e+05 2.017977235370740918e-03 2.913740674108674375e+14 9.244514174735506629e+00 2.379823214410937138e-01 6.237210467573534283e-05 1.302497819476258769e+02 6.885565449763960544e+01 9.565334985964129828e+02 6.980046061277450917e+02 1.931446814628040443e+02 7.619450390285761321e-01 8.828861201003796850e+02 6.967112294267728885e+02 1.573900013541517069e+02 2.380110769667956594e-01
1.750000000000000000e+05 4.810757263543546935e-03 2.885340982682858125e+14 9.133908435186596009e+00 2.385709263443648309e-01 5.576240348010671246e-05 1.298160541850615175e+02 6.835939456813032677e+01 9.559950090825346933e+02 6.998010071089303210e+02 1.914714050793799345e+02 7.613655801701432191e-01 8.828487700755763399e+02 6.985076691931811865e+02 1.558219109892679626e+02 2.386013490342088483e-01
2.250000000000000000e+05 9.357217147485686129e-03 2.841481539610097500e+14 9.154403050887818694e+00 2.388737120049662377e-01 5.483175671503024047e-05 1.289210826176506259e+02 6.794580115047055813e+01 9.552725740625928665e+02 7.026522736569673953e+02 1.886989974073199505e+02 7.610652142181580926e-01 8.827194287362151499e+02 7.013588846343393470e+02 1.531679571422352524e+02 2.389080731821630610e-01
2.750000000000000000e+05 1.600981182663500924e-02 2.783313897806321562e+14 9.288723068574139319e+00 2.389819244574482304e-01 5.831130760130781278e-05 1.276102849341689449e+02 6.754934913074082203e+01 9.543289832464347455e+02 7.064738632612773017e+02 1.850946992546578826e+02 7.609541032330759958e-01 8.824350934279070771e+02 7.051804389645069477e+02 1.496868062082828033e+02 2.390216667701949016e-01
3.250000000000000000e+05 2.507163103026817039e-02 2.714470853955597500e+14 9.438048568069611122e+00 2.390801645965415223e-01 6.240256468741602514e-05 1.260308536417647360e+02 6.709242908762321633e+01 9.532156553119588125e+02 7.110212959080561177e+02 1.809185827268410947e+02 7.608523184009399198e-01 8.820925111720937366e+02 7.097278786408199949e+02 1.456626390171789467e+02 2.391257877940101972e-01
3.750000000000000000e+05 3.678431199542665786e-02 2.635301384573929688e+14 9.589951716562293171e+00 2.391870758113430750e-01 6.655753009720702200e-05 1.241866884643351625e+02 6.655306606426573524e+01 9.519379529506466042e+02 7.162824011303727048e+02 1.762322623146633589e+02 7.607418608456889553e-01 8.817013870117983743e+02 7.149890580792147148e+02 1.411633321467730866e+02 2.392388476902287398e-01
4.250000000000000000e+05 5.127990910148993303e-02 2.539187440170023125e+14 9.736342574143529660e+00 2.396343409194441054e-01 6.920840164982967977e-05 1.219913819645434359e+02 6.572898230209105463e+01 9.505352376845960407e+02 7.227925423792585207e+02 1.701945387192043029e+02 7.592465332524102051e-01 8.815993613204913117e+02 7.214991315657928226e+02 1.355134944357829738e+02 2.392320421266236896e-01
4.750000000000000000e+05 6.862448007480050072e-02 2.432275998646710938e+14 9.879927730796879359e+00 2.403484508523127394e-01 7.089291547006439120e-05 1.195410921312036976e+02 6.471048688541631577e+01 9.489691014024064089e+02 7.301037703301536794e+02 1.636926463887956515e+02 7.572016180187617351e-01 8.815354519710760997e+02 7.288103957839961140e+02 1.294907243842105231e+02 2.393521862327188110e-01
